Quelldatei,Prüfung,Anzahl
Einzelteil_T04.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,119130
Einzelteil_T05.csv,Corrected Werksnummer from ID,596315
Einzelteil_T06.csv,Corrected Herstellernummer from ID,477052
Einzelteil_T07.txt,Corrected Werksnummer from ID,409422
Einzelteil_T07.txt,Negative Fehlerhaft_Fahrleistung converted to missing,52
Einzelteil_T08.csv,Corrected Werksnummer from ID,245654
Einzelteil_T09.txt,Negative Fehlerhaft_Fahrleistung converted to missing,79
Einzelteil_T10.csv,Corrected Werksnummer from ID,245654
Einzelteil_T10.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,40442
Einzelteil_T12.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,185128
Einzelteil_T13.csv,Corrected Herstellernummer from ID,763284
Einzelteil_T13.csv,Corrected Werksnummer from ID,763284
Einzelteil_T13.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,191093
Einzelteil_T14.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,47285
Einzelteil_T15.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,46584
Einzelteil_T17.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,65688
Einzelteil_T18.csv,Corrected Werksnummer from ID,262030
Einzelteil_T18.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,64400
Einzelteil_T19.csv,Negative Fehlerhaft_Fahrleistung converted to missing,213
Einzelteil_T20.txt,Negative Fehlerhaft_Fahrleistung converted to missing,7428
Einzelteil_T21.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,318917
Einzelteil_T23.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,190663
Einzelteil_T26.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,64952
Einzelteil_T31.txt,Negative Fehlerhaft_Fahrleistung converted to missing,7509
Einzelteil_T32.csv,Invalid Fehlerhaft_Fahrleistung converted to missing,197859
Komponente_K1DI1.csv,Corrected Werksnummer from ID,477052
Komponente_K2ST1.txt,Corrected Herstellernummer from ID,954104
Komponente_K2ST1.txt,Corrected Werksnummer from ID,954104
Komponente_K3SG1.csv,Negative Fehlerhaft_Fahrleistung converted to missing,704
Komponente_K6.csv,Corrected Werksnummer from ID,256177
Tier1_Werke_2017-07-11_v1.2_TrR.csv,Incomplete plant rows removed,23
